"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5288","testDownloadHttpClient()","","Mon Jan 12 11:08:11 UTC 2026","failed","Mon Jan 12 11:08:17 UTC 2026","","ui.FileContentTests","ui.FileContentTests","testDownloadHttpClient"
"","10","checkDocTest()","","Mon Jan 12 11:08:17 UTC 2026","failed","Mon Jan 12 11:08:17 UTC 2026","","ui.FileContentTests","ui.FileContentTests","checkDocTest"
"","185","downloadCdpTest()","","Mon Jan 12 11:08:18 UTC 2026","broken","Mon Jan 12 11:08:18 UTC 2026","","ui.SelenideDownloadTests","ui.SelenideDownloadTests","downloadCdpTest"
"","3232","testDownloadHttpClient()","","Mon Jan 12 11:08:04 UTC 2026","passed","Mon Jan 12 11:08:07 UTC 2026","","ui.DownloadTests","ui.DownloadTests","testDownloadHttpClient"
"","649","testDownloadHttpClient()","","Mon Jan 12 11:08:17 UTC 2026","passed","Mon Jan 12 11:08:18 UTC 2026","","ui.SelenideDownloadTests","ui.SelenideDownloadTests","testDownloadHttpClient"
"","754","apiUploadTest()","","Mon Jan 12 11:08:18 UTC 2026","broken","Mon Jan 12 11:08:19 UTC 2026","","ui.UploadTests","ui.UploadTests","apiUploadTest"
"","184","downloadButtonGetTest()","","Mon Jan 12 11:08:17 UTC 2026","broken","Mon Jan 12 11:08:17 UTC 2026","","ui.SelenideDownloadTests","ui.SelenideDownloadTests","downloadButtonGetTest"
"","187","uploadFileRealSiteTest()","","Mon Jan 12 11:08:19 UTC 2026","broken","Mon Jan 12 11:08:19 UTC 2026","","ui.UploadTests","ui.UploadTests","uploadFileRealSiteTest"
"","4191","downloadAndCheckImageTest()","","Mon Jan 12 11:08:07 UTC 2026","broken","Mon Jan 12 11:08:11 UTC 2026","","ui.FileContentTests","ui.FileContentTests","downloadAndCheckImageTest"
"","1576","testFillFormWithBuilder()","","Mon Jan 12 11:08:19 UTC 2026","broken","Mon Jan 12 11:08:21 UTC 2026","","ui.WebFormBuilderTest","ui.WebFormBuilderTest","testFillFormWithBuilder"
"","213","downloadButtonFolderTest()","","Mon Jan 12 11:08:17 UTC 2026","broken","Mon Jan 12 11:08:17 UTC 2026","","ui.SelenideDownloadTests","ui.SelenideDownloadTests","downloadButtonFolderTest"
"","1","uploadFileTest()","","Mon Jan 12 11:08:18 UTC 2026","broken","Mon Jan 12 11:08:18 UTC 2026","","ui.UploadTests","ui.UploadTests","uploadFileTest"
"","193","simpleDragAndDropTest()","","Mon Jan 12 11:08:18 UTC 2026","broken","Mon Jan 12 11:08:18 UTC 2026","","ui.UploadTests","ui.UploadTests","simpleDragAndDropTest"
"","50","checkExcelTest()","","Mon Jan 12 11:08:07 UTC 2026","failed","Mon Jan 12 11:08:07 UTC 2026","","ui.FileContentTests","ui.FileContentTests","checkExcelTest"
